anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
599512,Immigration Officer,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
591212,Import-Export Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
133311,Importer Or Exporter,No Shortage,No Shortage,1,1,Managers
232312,Industrial Designer,No Shortage,No Shortage,1,2,Professionals
233511,Industrial Engineer,No Shortage,No Shortage,1,2,Professionals
251512,Industrial Pharmacist,No Shortage,No Shortage,1,2,Professionals
711211,Industrial Spraypainter,Shortage,Shortage,4,7,Machinery Operators and Drivers
224999,Information And Organisation Professionals NEC,No Shortage,No Shortage,1,2,Professionals
541211,Information Officer,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
599599,Inspectors And Regulatory Officers NEC,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
611211,Insurance Agent,No Shortage,No Shortage,3,6,Sales Workers
222113,Insurance Broker,No Shortage,No Shortage,2,2,Professionals
552312,Insurance Consultant,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
599611,Insurance Investigator,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
599612,Insurance Loss Adjuster,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
599613,Insurance Risk Surveyor,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
422112,Integration Aide,No Shortage,No Shortage,4,4,Community and Personal Service Workers
271214,Intellectual Property Lawyer,No Shortage,No Shortage,1,2,Professionals
224411,Intelligence Officer,No Shortage,No Shortage,1,2,Professionals
411112,Intensive Care Ambulance Paramedic,Shortage,Shortage,1,4,Community and Personal Service Workers
253317,Intensive Care Specialist,Shortage,Shortage,1,2,Professionals
399912,Interior Decorator,No Shortage,No Shortage,2,3,Technicians and Trades Workers
232511,Interior Designer,No Shortage,No Shortage,2,2,Professionals
221214,Internal Auditor,No Shortage,No Shortage,1,2,Professionals
272412,Interpreter,No Shortage,No Shortage,1,2,Professionals
599514,"Invasive Pest, Weed And Disease Inspector",No Shortage,No Shortage,4,5,Clerical and Administrative Workers
311115,Irrigation Designer,Shortage,Shortage,2,3,Technicians and Trades Workers
362712,Irrigation Technician,Shortage,Shortage,3,3,Technicians and Trades Workers
399411,Jeweller,Shortage,Shortage,3,3,Technicians and Trades Workers
232313,Jewellery Designer,No Shortage,No Shortage,1,2,Professionals
452413,Jockey,No Shortage,No Shortage,3,4,Community and Personal Service Workers
331213,Joiner,Shortage,Shortage,3,3,Technicians and Trades Workers
212499,Journalists And Other Writers NEC,No Shortage,No Shortage,1,2,Professionals
271299,Judicial And Other Legal Professionals NEC,No Shortage,No Shortage,1,2,Professionals
361115,Kennel Hand,No Shortage,No Shortage,4,3,Technicians and Trades Workers
711713,Knitting Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
139913,Laboratory Manager,No Shortage,No Shortage,1,1,Managers
224511,Land Economist,No Shortage,No Shortage,1,2,Professionals
232112,Landscape Architect,No Shortage,No Shortage,1,2,Professionals
362711,Landscape Gardener,Shortage,Shortage,3,3,Technicians and Trades Workers
599214,Law Clerk,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
393112,Leather Goods Maker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
599112,Legal Executive,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
521212,Legal Secretary,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
224912,Liaison Officer,No Shortage,No Shortage,1,2,Professionals
224611,Librarian,No Shortage,No Shortage,1,2,Professionals
599711,Library Assistant,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
399312,Library Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
141411,Licensed Club Manager,No Shortage,No Shortage,2,1,Managers
311413,Life Science Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
234511,Life Scientist (General),No Shortage,No Shortage,1,2,Professionals
234599,Life Scientists NEC,No Shortage,No Shortage,1,2,Professionals
452414,Lifeguard,No Shortage,No Shortage,3,4,Community and Personal Service Workers
341113,Lift Mechanic,No Shortage,No Shortage,3,3,Technicians and Trades Workers
399513,Light Technician,Shortage,Shortage,3,3,Technicians and Trades Workers
721912,Linemarker,Shortage,Shortage,4,7,Machinery Operators and Drivers
121399,Livestock Farmers NEC,No Shortage,No Shortage,1,1,Managers
842314,Livestock Husbandry Worker,No Shortage,No Shortage,4,8,Labourers
721216,Loader Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
323313,Locksmith,Shortage,Shortage,3,3,Technicians and Trades Workers
843112,Logging Assistant,No Shortage,No Shortage,4,8,Labourers
721112,Logging Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711999,Machine Operators NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
532112,Machine Shorthand Reporter,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
312911,Maintenance Planner,No Shortage,No Shortage,2,3,Technicians and Trades Workers
399514,Make Up Artist,No Shortage,No Shortage,3,3,Technicians and Trades Workers
221112,Management Accountant,No Shortage,No Shortage,1,2,Professionals
224713,Management Consultant,No Shortage,No Shortage,1,2,Professionals
133411,Manufacturer,No Shortage,No Shortage,1,1,Managers
234516,Marine Biologist,No Shortage,No Shortage,1,2,Professionals
231215,Marine Surveyor,No Shortage,No Shortage,2,2,Professionals
231299,Marine Transport Professionals NEC,No Shortage,No Shortage,2,2,Professionals
225112,Market Research Analyst,No Shortage,No Shortage,1,2,Professionals
225113,Marketing Specialist,No Shortage,No Shortage,1,2,Professionals
411611,Massage Therapist,No Shortage,No Shortage,2,4,Community and Personal Service Workers
231211,Master Fisher,Shortage,Shortage,2,2,Professionals
233112,Materials Engineer,No Shortage,Shortage,1,2,Professionals
224112,Mathematician,No Shortage,No Shortage,1,2,Professionals
831211,Meat Boner And Slicer,No Shortage,No Shortage,4,8,Labourers
311312,Meat Inspector,Shortage,Shortage,2,3,Technicians and Trades Workers
233512,Mechanical Engineer,No Shortage,No Shortage,1,2,Professionals
312511,Mechanical Engineering Draftsperson,Shortage,Shortage,2,3,Technicians and Trades Workers
312512,Mechanical Engineering Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
212112,Media Producer (Excluding Video),No Shortage,No Shortage,1,2,Professionals
134211,Medical Administrator / Medical Superintendent,No Shortage,No Shortage,1,1,Managers
251211,Medical Diagnostic Radiographer,Shortage,Shortage,1,2,Professionals
234611,Medical Laboratory Scientist,No Shortage,No Shortage,1,2,Professionals
311213,Medical Laboratory Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
253314,Medical Oncologist,Shortage,Shortage,1,2,Professionals
253999,Medical Practitioners NEC,Shortage,Shortage,1,2,Professionals
251212,Medical Radiation Therapist,Regional Shortage,Regional Shortage,1,2,Professionals
542114,Medical Receptionist,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
311299,Medical Technicians NEC,No Shortage,No Shortage,2,3,Technicians and Trades Workers
322114,Metal Casting Trades Worker,Shortage,Shortage,3,3,Technicians and Trades Workers
322311,Metal Fabricator,Shortage,Shortage,3,3,Technicians and Trades Workers
323299,Metal Fitters And Machinists NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
323214,Metal Machinist (First Class),Shortage,Shortage,3,3,Technicians and Trades Workers
322115,Metal Polisher,No Shortage,No Shortage,3,3,Technicians and Trades Workers
312912,Metallurgical Or Materials Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
234912,Metallurgist,Shortage,Shortage,1,2,Professionals
234913,Meteorologist,No Shortage,No Shortage,1,2,Professionals
234517,Microbiologist,No Shortage,No Shortage,1,2,Professionals
241311,Middle School Teacher / Intermediate School Teacher,Shortage,Shortage,1,2,Professionals
254111,Midwife,Shortage,Shortage,1,2,Professionals
224913,Migration Agent / Immigration Consultant,No Shortage,No Shortage,1,2,Professionals
312913,Mine Deputy,No Shortage,No Shortage,2,3,Technicians and Trades Workers
712212,Miner,Regional Shortage,Regional Shortage,4,7,Machinery Operators and Drivers
233611,Mining Engineer (Excluding Petroleum),Shortage,Shortage,1,2,Professionals
272211,Minister Of Religion,No Shortage,No Shortage,1,2,Professionals
121323,Mixed Cattle And Sheep Farmer,No Shortage,No Shortage,1,1,Managers
121799,Mixed Production Farmers NEC,No Shortage,No Shortage,1,1,Managers
721999,Mobile Plant Operators NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
552313,Money Market Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
411412,Mothercraft Nurse,No Shortage,No Shortage,2,4,Community and Personal Service Workers
711912,Motion Picture Projectionist,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
321211,Motor Mechanic (General),Shortage,Shortage,3,3,Technicians and Trades Workers
599513,Motor Vehicle Licence Examiner,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
621311,Motor Vehicle Or Caravan Salesperson,No Shortage,No Shortage,4,6,Sales Workers
899411,Motor Vehicle Parts And Accessories Fitter (General),Shortage,Shortage,4,8,Labourers
621312,Motor Vehicle Parts Interpreter / Automotive Parts Salesperson,No Shortage,No Shortage,4,6,Sales Workers
321213,Motorcycle Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
452214,Mountain Or Glacier Guide,No Shortage,No Shortage,2,4,Community and Personal Service Workers
232413,Multimedia Designer,No Shortage,No Shortage,1,2,Professionals
261211,Multimedia Specialist,No Shortage,No Shortage,1,2,Professionals
211212,Music Director,No Shortage,No Shortage,1,2,Professionals
211299,Music Professionals NEC,No Shortage,No Shortage,1,2,Professionals
249214,Music Teacher (Private Tuition),No Shortage,No Shortage,1,2,Professionals
399515,Musical Instrument Maker Or Repairer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
211213,Musician (Instrumental),No Shortage,No Shortage,1,2,Professionals
421113,Nanny,No Shortage,No Shortage,4,4,Community and Personal Service Workers
234999,Natural And Physical Science Professionals NEC,No Shortage,No Shortage,1,2,Professionals
451511,Natural Remedy Consultant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
252213,Naturopath,No Shortage,No Shortage,1,2,Professionals
233916,Naval Architect / Marine Designer,Shortage,Shortage,1,2,Professionals
263112,Network Administrator,No Shortage,No Shortage,1,2,Professionals
263113,Network Analyst,No Shortage,No Shortage,1,2,Professionals
253318,Neurologist,Shortage,Shortage,1,2,Professionals
253513,Neurosurgeon,Shortage,Shortage,1,2,Professionals
212412,Newspaper Or Periodical Editor,No Shortage,No Shortage,1,2,Professionals
251213,Nuclear Medicine Technologist,Shortage,Shortage,1,2,Professionals
254211,Nurse Educator,No Shortage,Shortage,1,2,Professionals
254311,Nurse Manager,No Shortage,No Shortage,1,2,Professionals
254411,Nurse Practitioner,Shortage,Shortage,1,2,Professionals
254212,Nurse Researcher,No Shortage,No Shortage,1,2,Professionals
362411,Nurseryperson,No Shortage,No Shortage,3,3,Technicians and Trades Workers
134212,Nursing Clinical Director,No Shortage,No Shortage,1,1,Managers
423312,Nursing Support Worker,No Shortage,No Shortage,4,4,Community and Personal Service Workers
121613,Nut Grower,No Shortage,No Shortage,1,1,Managers
251112,Nutritionist,No Shortage,No Shortage,1,2,Professionals
253913,Obstetrician And Gynaecologist,Shortage,Shortage,1,2,Professionals
251312,Occupational Health And Safety Adviser,No Shortage,No Shortage,1,2,Professionals
252411,Occupational Therapist,Shortage,Shortage,1,2,Professionals
512111,Office Manager,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
311214,Operating Theatre Technician,No Shortage,No Shortage,3,3,Technicians and Trades Workers
253914,Ophthalmologist,Shortage,Shortage,1,2,Professionals
399913,Optical Dispenser / Dispensing Optician,No Shortage,No Shortage,3,3,Technicians and Trades Workers
399914,Optical Mechanic,No Shortage,No Shortage,3,3,Technicians and Trades Workers
251411,Optometrist,No Shortage,No Shortage,1,2,Professionals
591117,Order Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
224712,Organisation And Methods Analyst,No Shortage,No Shortage,1,2,Professionals
272313,Organisational Psychologist,Shortage,Shortage,1,2,Professionals
253514,Orthopaedic Surgeon,Shortage,Shortage,1,2,Professionals
251412,Orthoptist,Shortage,Shortage,1,2,Professionals
251912,Orthotist Or Prosthetist,Shortage,Shortage,1,2,Professionals
252112,Osteopath,Shortage,Shortage,1,2,Professionals
312914,Other Draftsperson,No Shortage,No Shortage,2,3,Technicians and Trades Workers
639911,Other Sales Support Worker,No Shortage,No Shortage,4,6,Sales Workers
232214,Other Spatial Scientist,Shortage,Shortage,1,2,Professionals
452317,Other Sports Coach Or Instructor,No Shortage,No Shortage,4,4,Community and Personal Service Workers
452323,Other Sports Official,No Shortage,No Shortage,3,4,Community and Personal Service Workers
711314,Other Wood Processing Machine Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
253515,Otorhinolaryngologist,Shortage,Shortage,1,2,Professionals
421114,Out Of School Hours Care Worker,Regional Shortage,Regional Shortage,3,4,Community and Personal Service Workers
452299,Outdoor Adventure Guides NEC,Shortage,Shortage,3,4,Community and Personal Service Workers
452215,Outdoor Adventure Instructor,Shortage,Shortage,3,4,Community and Personal Service Workers
253516,Paediatric Surgeon,Shortage,Shortage,1,2,Professionals
253321,Paediatrician,Shortage,Shortage,1,2,Professionals
332211,Painter,Shortage,Shortage,3,3,Technicians and Trades Workers
211411,Painter (Visual Arts),No Shortage,No Shortage,1,2,Professionals
324111,Panelbeater,Shortage,Shortage,3,3,Technicians and Trades Workers
712916,Paper And Pulp Mill Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711311,Paper Products Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
234314,Park Ranger,No Shortage,No Shortage,1,2,Professionals
411714,Parole Or Probation Officer,No Shortage,No Shortage,2,4,Community and Personal Service Workers
731213,Passenger Coach Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
351112,Pastrycook,Regional Shortage,Regional Shortage,3,3,Technicians and Trades Workers
224914,Patents Examiner,No Shortage,No Shortage,1,2,Professionals
253915,Pathologist,Shortage,Shortage,1,2,Professionals
311216,Pathology Collector / Phlebotomist,No Shortage,No Shortage,3,3,Technicians and Trades Workers
721913,Paving Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
551311,Payroll Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
261317,Penetration Tester,No Shortage,No Shortage,1,2,Professionals
399599,Performing Arts Technicians NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
521111,Personal Assistant,No Shortage,No Shortage,2,5,Clerical and Administrative Workers
423313,Personal Care Assistant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
451899,Personal Service Workers NEC,No Shortage,No Shortage,4,4,Community and Personal Service Workers
843411,Pest Control Technician,No Shortage,No Shortage,4,8,Labourers
361113,Pet Groomer,No Shortage,No Shortage,4,3,Technicians and Trades Workers
233612,Petroleum Engineer,Shortage,Shortage,1,2,Professionals
621411,Pharmacy Sales Assistant,No Shortage,No Shortage,4,6,Sales Workers
311215,Pharmacy Technician,Regional Shortage,Regional Shortage,2,3,Technicians and Trades Workers
211311,Photographer,No Shortage,No Shortage,2,2,Professionals
399915,Photographer's Assistant,No Shortage,No Shortage,4,3,Technicians and Trades Workers
711411,Photographic Developer And Printer,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
234914,Physicist,No Shortage,No Shortage,1,2,Professionals
252511,Physiotherapist,Shortage,Shortage,1,2,Professionals
394212,Picture Framer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
