anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
134412,Regional Education Manager,No Shortage,No Shortage,1,1,Managers
254412,Registered Nurse (Aged Care),Shortage,Shortage,1,2,Professionals
254413,Registered Nurse (Child And Family Health),Shortage,Shortage,1,2,Professionals
254414,Registered Nurse (Community Health),Shortage,Shortage,1,2,Professionals
254415,Registered Nurse (Critical Care And Emergency),Shortage,Shortage,1,2,Professionals
254416,Registered Nurse (Developmental Disability),Shortage,Shortage,1,2,Professionals
254417,Registered Nurse (Disability And Rehabilitation),Shortage,Shortage,1,2,Professionals
254421,Registered Nurse (Medical Practice),Regional Shortage,Regional Shortage,1,2,Professionals
254418,Registered Nurse (Medical),Regional Shortage,Regional Shortage,1,2,Professionals
254422,Registered Nurse (Mental Health),Shortage,Shortage,1,2,Professionals
254425,Registered Nurse (Paediatrics),Shortage,Shortage,1,2,Professionals
254423,Registered Nurse (Perioperative),Shortage,Shortage,1,2,Professionals
254424,Registered Nurse (Surgical),Regional Shortage,Regional Shortage,1,2,Professionals
254499,Registered Nurses NEC,No Shortage,No Shortage,1,2,Professionals
139917,Regulatory Affairs Manager,No Shortage,No Shortage,1,1,Managers
272114,Rehabilitation Counsellor,Shortage,Shortage,1,2,Professionals
711515,Reinforced Plastic And Composite Production Worker,Shortage,Shortage,4,7,Machinery Operators and Drivers
451816,Religious Assistant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
253322,Renal Medicine Specialist,Shortage,Shortage,1,2,Professionals
333212,Renderer (Solid Plaster),Shortage,Shortage,3,3,Technicians and Trades Workers
132511,Research And Development Manager,No Shortage,No Shortage,1,1,Managers
253112,Resident Medical Officer,Shortage,Shortage,1,2,Professionals
411715,Residential Care Officer,No Shortage,No Shortage,2,4,Community and Personal Service Workers
234612,Respiratory Scientist,No Shortage,No Shortage,1,2,Professionals
311217,Respiratory Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
639211,Retail Buyer,No Shortage,No Shortage,3,6,Sales Workers
142111,Retail Manager (General),No Shortage,No Shortage,2,1,Managers
251513,Retail Pharmacist,Shortage,Shortage,1,2,Professionals
621511,Retail Supervisor,No Shortage,No Shortage,4,6,Sales Workers
141912,Retirement Village Manager,No Shortage,No Shortage,2,1,Managers
253323,Rheumatologist,Shortage,Shortage,1,2,Professionals
721915,Road Roller Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
334115,Roof Plumber,Shortage,Shortage,3,3,Technicians and Trades Workers
333311,Roof Tiler,Shortage,Shortage,3,3,Technicians and Trades Workers
711516,Rubber Production Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
312611,Safety Inspector,No Shortage,No Shortage,2,3,Technicians and Trades Workers
393113,Sail Maker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
131112,Sales And Marketing Manager,No Shortage,No Shortage,1,1,Managers
611311,Sales Representative (Building And Plumbing Supplies),No Shortage,No Shortage,4,6,Sales Workers
611312,Sales Representative (Business Services),No Shortage,No Shortage,4,6,Sales Workers
225411,Sales Representative (Industrial Products),No Shortage,No Shortage,1,2,Professionals
225412,Sales Representative (Medical And Pharmaceutical Products),No Shortage,No Shortage,1,2,Professionals
611313,Sales Representative (Motor Vehicle Parts And Accessories),No Shortage,No Shortage,4,6,Sales Workers
611314,Sales Representative (Personal And Household Goods),No Shortage,No Shortage,4,6,Sales Workers
611399,Sales Representatives NEC,No Shortage,No Shortage,4,6,Sales Workers
711913,Sand Blaster,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
323315,Saw Doctor,Shortage,Shortage,3,3,Technicians and Trades Workers
711313,Sawmilling Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
821712,Scaffolder,Shortage,Shortage,4,8,Labourers
311414,School Laboratory Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
134311,School Principal,No Shortage,No Shortage,1,1,Managers
311499,Science Technicians NEC,No Shortage,No Shortage,2,3,Technicians and Trades Workers
392112,Screen Printer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
211413,Sculptor,No Shortage,No Shortage,1,2,Professionals
241411,Secondary School Teacher,Shortage,Shortage,1,2,Professionals
521211,Secretary (General),No Shortage,No Shortage,2,5,Clerical and Administrative Workers
442216,Security Consultant,No Shortage,No Shortage,3,4,Community and Personal Service Workers
442217,Security Officer,No Shortage,No Shortage,4,4,Community and Personal Service Workers
363199,"Senior Aquaculture, Crop And Forestry Workers NEC",No Shortage,No Shortage,3,3,Technicians and Trades Workers
363211,Senior Beef Cattle Station Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363115,Senior Broadacre Crop And Livestock Farm Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363116,Senior Broadacre Crop Farm Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363212,Senior Cattle And Sheep Farm Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363213,Senior Dairy Cattle Farm Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363299,Senior Livestock Farm Workers NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363214,Senior Piggery Stockperson,No Shortage,No Shortage,3,3,Technicians and Trades Workers
363215,Senior Sheep Farm Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
711611,Sewing Machinist,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
363311,Shearer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
842317,Sheep Farm Worker,No Shortage,No Shortage,4,8,Labourers
121322,Sheep Farmer,No Shortage,No Shortage,1,1,Managers
322211,Sheetmetal Worker,Shortage,Shortage,3,3,Technicians and Trades Workers
231212,Ship's Engineer,Shortage,Shortage,2,2,Professionals
231213,Ship's Master,Shortage,Shortage,2,2,Professionals
231214,Ship's Officer,Shortage,Shortage,2,2,Professionals
399112,Shipwright,Shortage,Shortage,3,3,Technicians and Trades Workers
393114,Shoemaker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
712213,Shot Firer,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
399611,Signwriter,No Shortage,No Shortage,3,3,Technicians and Trades Workers
211214,Singer,No Shortage,No Shortage,1,2,Professionals
831212,Slaughterer,No Shortage,No Shortage,4,8,Labourers
321214,Small Engine Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
392312,Small Offset Printer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
452314,Snowsport Instructor,No Shortage,No Shortage,3,4,Community and Personal Service Workers
272499,Social Professionals NEC,No Shortage,No Shortage,1,2,Professionals
599515,Social Security Assessor,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
272511,Social Worker,No Shortage,Regional Shortage,1,2,Professionals
261399,Software And Applications Programmers NEC,No Shortage,No Shortage,1,2,Professionals
261313,Software Engineer,No Shortage,No Shortage,1,2,Professionals
261314,Software Tester,Shortage,Shortage,1,2,Professionals
271311,Solicitor,Shortage,Shortage,1,2,Professionals
251214,Sonographer,Shortage,Shortage,1,2,Professionals
399516,Sound Technician,Shortage,Shortage,3,3,Technicians and Trades Workers
241599,Special Education Teachers NEC,Shortage,Shortage,1,2,Professionals
241511,Special Needs Teacher,Shortage,Shortage,1,2,Professionals
139999,Specialist Managers NEC,No Shortage,No Shortage,1,1,Managers
253311,Specialist Physician (General Medicine),Shortage,Shortage,1,2,Professionals
253399,Specialist Physicians NEC,Shortage,Shortage,1,2,Professionals
252712,Speech Pathologist / Speech Language Therapist,Shortage,Shortage,1,2,Professionals
139915,Sports Administrator,No Shortage,No Shortage,1,1,Managers
149113,Sports Centre Manager,No Shortage,No Shortage,2,1,Managers
452321,Sports Development Officer,No Shortage,No Shortage,2,4,Community and Personal Service Workers
362312,Sports Turf Manager,Shortage,Shortage,2,3,Technicians and Trades Workers
362313,Sports Turf Trades Worker,No Shortage,No Shortage,3,3,Technicians and Trades Workers
452322,Sports Umpire,No Shortage,No Shortage,3,4,Community and Personal Service Workers
212316,Stage Manager,No Shortage,No Shortage,1,2,Professionals
712999,Stationary Plant Operators NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
552314,Statistical Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
224116,Statistician,No Shortage,No Shortage,1,2,Professionals
821713,Steel Fixer,Shortage,Shortage,4,8,Labourers
711914,Sterilisation Technician,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
611112,Stock And Station Agent,No Shortage,No Shortage,3,6,Sales Workers
591115,Stock Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
222213,Stockbroking Dealer,No Shortage,No Shortage,1,2,Professionals
711114,Stone Processing Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
331112,Stonemason,Shortage,Shortage,3,3,Technicians and Trades Workers
741111,Storeperson,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
721916,Streetsweeper Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
233214,Structural Engineer,Shortage,Shortage,1,2,Professionals
821714,Structural Steel Erector,Shortage,Shortage,4,8,Labourers
272115,Student Counsellor,No Shortage,No Shortage,1,2,Professionals
842217,Sugar Cane Farm Worker,No Shortage,No Shortage,4,8,Labourers
121513,Sugar Cane Grower,No Shortage,No Shortage,1,1,Managers
133611,Supply And Distribution Manager,No Shortage,No Shortage,1,1,Managers
224714,Supply Chain Analyst,No Shortage,No Shortage,1,2,Professionals
253511,Surgeon (General),Shortage,Shortage,1,2,Professionals
312116,Surveying Or Spatial Science Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
232212,Surveyor,Shortage,Shortage,1,2,Professionals
452315,Swimming Coach Or Instructor,Shortage,Shortage,4,4,Community and Personal Service Workers
262113,Systems Administrator,No Shortage,No Shortage,1,2,Professionals
261112,Systems Analyst,No Shortage,No Shortage,1,2,Professionals
733114,Tanker Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
221113,Taxation Accountant,Shortage,Shortage,1,2,Professionals
599516,Taxation Inspector,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
731112,Taxi Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
249311,Teacher Of English To Speakers Of Other Languages,No Shortage,No Shortage,1,2,Professionals
241512,Teacher Of The Hearing Impaired,Shortage,Shortage,1,2,Professionals
241513,Teacher Of The Sight Impaired,Shortage,Shortage,1,2,Professionals
422116,Teachers' Aide,No Shortage,No Shortage,4,4,Community and Personal Service Workers
342212,Technical Cable Jointer,Shortage,Shortage,3,3,Technicians and Trades Workers
212317,Technical Director,No Shortage,No Shortage,1,2,Professionals
225499,Technical Sales Representatives NEC,No Shortage,No Shortage,1,2,Professionals
212415,Technical Writer,No Shortage,No Shortage,1,2,Professionals
399999,Technicians And Trades Workers NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
342412,Telecommunications Cable Jointer,Shortage,Shortage,3,3,Technicians and Trades Workers
263311,Telecommunications Engineer,No Shortage,No Shortage,1,2,Professionals
313212,Telecommunications Field Engineer,No Shortage,No Shortage,2,3,Technicians and Trades Workers
342413,Telecommunications Linesworker / Telecommunications Line Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
263312,Telecommunications Network Engineer,No Shortage,No Shortage,1,2,Professionals
313213,Telecommunications Network Planner,No Shortage,No Shortage,2,3,Technicians and Trades Workers
313214,Telecommunications Technical Officer Or Technologist,No Shortage,No Shortage,2,3,Technicians and Trades Workers
342414,Telecommunications Technician,Shortage,Shortage,3,3,Technicians and Trades Workers
399517,Television Equipment Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
212416,Television Journalist,No Shortage,No Shortage,1,2,Professionals
212114,Television Presenter,No Shortage,No Shortage,1,2,Professionals
452316,Tennis Coach,No Shortage,No Shortage,4,4,Community and Personal Service Workers
711799,Textile And Footwear Production Machine Operators NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
711714,Textile Dyeing And Finishing Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
323215,"Textile, Clothing And Footwear Mechanic",No Shortage,No Shortage,3,3,Technicians and Trades Workers
423314,Therapy Aide,No Shortage,No Shortage,4,4,Community and Personal Service Workers
253324,Thoracic Medicine Specialist,Shortage,Shortage,1,2,Professionals
323412,Toolmaker,Shortage,Shortage,3,3,Technicians and Trades Workers
451412,Tour Guide,Shortage,Shortage,3,4,Community and Personal Service Workers
451611,Tourist Information Officer,No Shortage,No Shortage,4,4,Community and Personal Service Workers
733115,Tow Truck Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
361116,Track Rider,No Shortage,No Shortage,3,3,Technicians and Trades Workers
252214,Traditional Chinese Medicine Practitioner,No Shortage,No Shortage,1,2,Professionals
712918,Train Controller,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
731311,Train Driver,Regional Shortage,Regional Shortage,4,7,Machinery Operators and Drivers
599517,Train Examiner,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
223311,Training And Development Professional,No Shortage,No Shortage,1,2,Professionals
731312,Tram Driver,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
272413,Translator,No Shortage,No Shortage,1,2,Professionals
149413,Transport Company Manager,No Shortage,No Shortage,2,1,Managers
233215,Transport Engineer,Shortage,Shortage,1,2,Professionals
599518,Transport Operations Inspector,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
142116,Travel Agency Manager,No Shortage,No Shortage,2,1,Managers
451799,Travel Attendants NEC,No Shortage,No Shortage,4,4,Community and Personal Service Workers
451612,Travel Consultant,Shortage,Shortage,3,4,Community and Personal Service Workers
843113,Tree Faller,No Shortage,No Shortage,4,8,Labourers
362512,Tree Worker,Shortage,Shortage,3,3,Technicians and Trades Workers
452216,Trekking Guide,No Shortage,No Shortage,3,4,Community and Personal Service Workers
733111,Truck Driver (General),Shortage,Shortage,4,7,Machinery Operators and Drivers
599215,Trust Officer,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
121615,Turf Grower,No Shortage,No Shortage,1,1,Managers
899415,Tyre Fitter,No Shortage,No Shortage,4,8,Labourers
242111,University Lecturer,No Shortage,No Shortage,1,2,Professionals
242112,University Tutor,No Shortage,No Shortage,1,2,Professionals
393311,Upholsterer,Shortage,Shortage,3,3,Technicians and Trades Workers
232611,Urban And Regional Planner,Regional Shortage,Regional Shortage,1,2,Professionals
253518,Urologist,Shortage,Shortage,1,2,Professionals
261113,User Experience Designer (ICT),No Shortage,No Shortage,1,2,Professionals
224512,Valuer,No Shortage,No Shortage,1,2,Professionals
253521,Vascular Surgeon,Shortage,Shortage,1,2,Professionals
121616,Vegetable Grower,No Shortage,No Shortage,1,1,Managers
324211,Vehicle Body Builder,Shortage,Shortage,3,3,Technicians and Trades Workers
324311,Vehicle Painter,Shortage,Shortage,3,3,Technicians and Trades Workers
324212,Vehicle Trimmer,Shortage,Shortage,3,3,Technicians and Trades Workers
234711,Veterinarian,Shortage,Shortage,1,2,Professionals
361311,Veterinary Nurse,Shortage,Shortage,3,3,Technicians and Trades Workers
212318,Video Producer,No Shortage,No Shortage,1,2,Professionals
363117,Vineyard Supervisor,No Shortage,No Shortage,3,3,Technicians and Trades Workers
842222,Vineyard Worker,No Shortage,No Shortage,4,8,Labourers
211499,Visual Arts And Crafts Professionals NEC,No Shortage,No Shortage,1,2,Professionals
639511,Visual Merchandiser,No Shortage,No Shortage,4,6,Sales Workers
242211,Vocational Education Teacher / Polytechnic Teacher,Shortage,Shortage,1,2,Professionals
431511,Waiter,No Shortage,No Shortage,4,4,Community and Personal Service Workers
333411,Wall And Floor Tiler,Shortage,Shortage,3,3,Technicians and Trades Workers
591116,Warehouse Administrator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
712921,Waste Water Or Water Plant Operator,No Shortage,Shortage,4,7,Machinery Operators and Drivers
323316,Watch And Clock Maker And Repairer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
599521,Water Inspector,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
711715,Weaving Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
313113,Web Administrator,No Shortage,No Shortage,2,3,Technicians and Trades Workers
232414,Web Designer,No Shortage,No Shortage,1,2,Professionals
261212,Web Developer,No Shortage,No Shortage,1,2,Professionals
712922,Weighbridge Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
451512,Weight Loss Consultant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
322313,Welder (First Class),Shortage,Shortage,3,3,Technicians and Trades Workers
134214,Welfare Centre Manager,No Shortage,No Shortage,1,1,Managers
272613,Welfare Worker,No Shortage,Regional Shortage,1,2,Professionals
452217,Whitewater Rafting Guide,No Shortage,No Shortage,3,4,Community and Personal Service Workers
133312,Wholesaler,No Shortage,No Shortage,1,1,Managers
121617,Wine Grape Grower,No Shortage,No Shortage,1,1,Managers
234213,Wine Maker,No Shortage,No Shortage,1,2,Professionals
394213,Wood Machinist,Shortage,Shortage,3,3,Technicians and Trades Workers
394299,Wood Machinists And Other Wood Trades Workers NEC,No Shortage,No Shortage,3,3,Technicians and Trades Workers
394214,Wood Turner,No Shortage,No Shortage,3,3,Technicians and Trades Workers
639212,Wool Buyer,No Shortage,No Shortage,3,6,Sales Workers
363312,Wool Classer,No Shortage,No Shortage,3,3,Technicians and Trades Workers
532113,Word Processing Operator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
223113,Workplace Relations Adviser,No Shortage,No Shortage,1,2,Professionals
711716,Yarn Carding And Spinning Machine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
411716,Youth Worker,No Shortage,No Shortage,2,4,Community and Personal Service Workers
361114,Zookeeper,No Shortage,No Shortage,3,3,Technicians and Trades Workers
234522,Zoologist,No Shortage,No Shortage,1,2,Professionals
